Model,Candidate,CV_AUC_Mean,CV_AUC_STD,CV_AP_Mean,CV_Brier_Mean,CV_ECE_Mean,hidden_dim,lr,weight_decay,batch_size,CV_Folds,C,n_estimators,max_depth,min_samples_leaf,Used_for_Explanations,Explanation_Eligible,Model_Role,Test_AUC,Test_AP,Test_Brier,Test_ECE
MLP,"MLP(h=128,  lr=5e-04, wd=0e+00, bs=32)",0.8908362618850063,2.2817967363197855e-05,0.5703399504111286,0.3493735476546678,0.4731248015120032,128.0,0.0005,0.0,32.0,2,,,,,False,True,Fixed explanation model,0.904961752147486,0.596061064407546,0.30823962778697667,0.42450316555952106
MLP,"MLP(h=128,  lr=5e-04, wd=0e+00, bs=64)",0.8865265942902538,0.0016119306678192835,0.5596735235848347,0.37289530592214215,0.5014348148708541,128.0,0.0005,0.0,64.0,2,,,,,False,True,Fixed explanation model,0.904961752147486,0.596061064407546,0.30823962778697667,0.42450316555952106
MLP,"MLP(h=128,  lr=5e-04, wd=1e-04, bs=32)",0.8906691844864013,2.0803797219803855e-05,0.5699412978562262,0.35026007282581617,0.4742403906561643,128.0,0.0005,0.0001,32.0,2,,,,,False,True,Fixed explanation model,0.904961752147486,0.596061064407546,0.30823962778697667,0.42450316555952106
MLP,"MLP(h=128,  lr=5e-04, wd=1e-04, bs=64)",0.8863988774918818,0.0018330304451609214,0.5591835700778722,0.37418244704323067,0.5029668896102981,128.0,0.0005,0.0001,64.0,2,,,,,False,True,Fixed explanation model,0.904961752147486,0.596061064407546,0.30823962778697667,0.42450316555952106
Logistic Regression,LogisticRegression(C=0.1),0.841083808741417,0.0006219064246348327,0.45621855373777637,0.1508184935516614,0.26362551435461556,,,,,2,0.1,,,,False,False,Predictive comparator only,0.8415285477470236,0.44930267595744205,0.15042241432836173,0.2630024450211932
Logistic Regression,LogisticRegression(C=1),0.8411050246738185,0.0006286738177899154,0.4561802656108138,0.1506397384127551,0.2631094266840624,,,,,2,1.0,,,,False,False,Predictive comparator only,0.8415285477470236,0.44930267595744205,0.15042241432836173,0.2630024450211932
Logistic Regression,LogisticRegression(C=10),0.8411058992253028,0.0006299301804641999,0.45617837407676043,0.1506214869740456,0.26305689152790945,,,,,2,10.0,,,,False,False,Predictive comparator only,0.8415285477470236,0.44930267595744205,0.15042241432836173,0.2630024450211932
Random Forest,"RandomForest(n=200, depth=None, leaf=1)",0.9263634159255811,0.0006705753114164548,0.6569592353260321,0.0555478118155915,0.02508474472250417,,,,,2,,200.0,,1.0,False,False,Predictive comparator only,0.9348904807354198,0.6787060877747342,0.053394544334112594,0.024280524577222115
Random Forest,"RandomForest(n=200, depth=None, leaf=5)",0.9270315601338973,0.00042421138578774276,0.6640454723538896,0.0599586535181567,0.06717645315061188,,,,,2,,200.0,,5.0,False,False,Predictive comparator only,0.9348904807354198,0.6787060877747342,0.053394544334112594,0.024280524577222115
Random Forest,"RandomForest(n=200, depth=8, leaf=1)",0.9058195936465421,0.0006503095036333173,0.5890381739168424,0.10558163582336841,0.19400159148911247,,,,,2,,200.0,8.0,1.0,False,False,Predictive comparator only,0.9348904807354198,0.6787060877747342,0.053394544334112594,0.024280524577222115
Random Forest,"RandomForest(n=200, depth=8, leaf=5)",0.9072266579540021,0.0008163273947370264,0.5978272784714351,0.10657172538620503,0.19721266419331906,,,,,2,,200.0,8.0,5.0,False,False,Predictive comparator only,0.9348904807354198,0.6787060877747342,0.053394544334112594,0.024280524577222115
Random Forest,"RandomForest(n=400, depth=None, leaf=1)",0.9280554415829174,0.0006140765283352834,0.661929540899366,0.05534407528662816,0.02566885957356319,,,,,2,,400.0,,1.0,False,False,Predictive comparator only,0.9348904807354198,0.6787060877747342,0.053394544334112594,0.024280524577222115
Random Forest,"RandomForest(n=400, depth=None, leaf=5)",0.9278300471075152,0.0004677772552624804,0.6664361436110378,0.05970621070159856,0.06752912086172862,,,,,2,,400.0,,5.0,False,False,Predictive comparator only,0.9348904807354198,0.6787060877747342,0.053394544334112594,0.024280524577222115
Random Forest,"RandomForest(n=400, depth=8, leaf=1)",0.9065450010081944,0.0005492438191079807,0.5906533148637416,0.10555391174921645,0.194243822737999,,,,,2,,400.0,8.0,1.0,False,False,Predictive comparator only,0.9348904807354198,0.6787060877747342,0.053394544334112594,0.024280524577222115
Random Forest,"RandomForest(n=400, depth=8, leaf=5)",0.9077587222661376,0.000949759986956733,0.5990213680654446,0.10660170811952219,0.1976784524166278,,,,,2,,400.0,8.0,5.0,False,False,Predictive comparator only,0.9348904807354198,0.6787060877747342,0.053394544334112594,0.024280524577222115
